ORDER;TEAM A;TEAM B;MAPS A;MAPS B
1;Florida Mutineers;New York Subliners;0;0
2;OpTic Texas;Boston Breach;0;0
3;Toronto Ultra;LA Guerrillas;0;0
4;Toronto Ultra;London Royal Ravens;0;0
5;New York Subliners;LA Guerrillas;0;0
6;OpTic Texas;Minnesota Rokkr;0;0
7;LA Thieves;Boston Breach;0;0
8;Seattle Surge;Paris Legion;0;0
9;Florida Mutineers;Minnesota Rokkr;0;0
10;LA Thieves;Atlanta Faze;0;0
11;LA Thieves;Paris Legion;0;0
12;Minnesota Rokkr;London Royal Ravens;0;0
13;Seattle Surge;Boston Breach;0;0
14;Florida Mutineers;London Royal Ravens;0;0
15;OpTic Texas;Paris Legion;0;0
16;Seattle Surge;New York Subliners;0;0
17;Atlanta FaZe;LA Guerrillas;0;0
18;Boston Breach;LA Guerrillas;0;0
19;Atlanta FaZe;Toronto Ultra;0;0
20;OpTic Texas;New York Subliners;0;0
21;Atlanta FaZe;London Royal Ravens;0;0
22;Florida Mutineers;Paris Legion;0;0
23;Seattle Surge;Minnesota Rokkr;0;0
24;Paris Legion;Minnesota Rokkr;0;0
25;Boston Breach;Toronto Ultra;0;0
26;LA Thieves;Florida Mutineers;0;0
27;Seattle Surge;Atlanta Faze;0;0
28;LA Guerrillas;London Royal Ravens;0;0
29;OpTic Texas;Toronto Ultra;0;0
30;LA Thieves;New York Subliners;0;0
