RANK;TEAM;POINTS;W;L;W/L;MAP_W;MAP_L;MAP_W/L
1;Atlanta Faze;210;18;7;72.00%;63;41;60.58%
2;OpTic Texas;205;18;5;78.26%;62;28;68.89%
3;London Royal Ravens;140;12;10;54.55%;42;44;48.84%
4;Boston Breach;130;11;12;47.83%;45;48;48.39%
5;LA Guerrilas;125;12;12;50.00%;46;52;46.94%
6;Seattle Surge;110;10;10;50.00%;42;39;51.85%
7;Minnesota Rokkr;100;10;8;55.56%;37;35;51.39%
8;Toronto Ultra;100;9;11;45.00%;41;43;48.81%
9;LA Thieves;90;9;12;42.86%;41;44;48.24%
10;Florida Mutineers;90;8;12;40.00%;35;41;46.05%
11;New York Subliners;70;7;11;38.89%;30;40;42.86%
12;Paris Legion;20;2;16;11.11%;23;52;30.67%
